INPUT:id	INPUT:phrase	INPUT:sentence	INPUT:sense
14	muffled	No one speaks, and the snaking of the ropes seems to make as much sound as the bells themselves, muffled by the ceiling.	a kiln with an inner chamber for firing things at a low temperature,conceal or hide,deaden (a sound or noise)\, especially by wrapping
15	inverted	Far above in the belfry, the huge bronze bells, mounted on wheels, swing madly through a full 360 degrees, starting and ending, surprisingly, in the inverted, or mouth-up position.	make an inversion (in a musical composition),reverse the position\, order\, relation\, or condition of,turn inside out or upside down,being in such a position that top and bottom are reversed,(of a plant ovule) completely inverted; turned back 180 degrees on its stalk
16	retard	Skilled ringers use their wrists to advance or retard the next swing, so that one bell can swap places with another in the following change.	a person of subnormal intelligence,cause to move more slowly or operate at a slower rate,be delayed,slow the growth or development of,lose velocity; move more slowly
17	described	In a well-known detective-story involving church bells, English novelist Dorothy L. Sayers described ringing as a`` passion that finds its satisfaction in mathematical completeness and mechanical perfection.``	give a description of,to give an account or representation of in words,make a mark or lines on a surface,identify as in botany or biology\, for example
18	Ringers	Ringers, she added, are`` filled with the solemn intoxication that comes of intricate ritual faultlessly performed.````	a person who rings church bells (as for summoning the congregation),a person who is almost identical to another,a contestant entered in a competition under false pretenses,(horseshoes) the successful throw of a horseshoe or quoit so as to encircle a stake or peg
19	tower	It is a passion that usually stays in the tower, however.	a structure taller than its diameter; can stand alone or be attached to a larger building,anything that approximates the shape of a column or tower,a powerful small boat designed to pull or push larger ships,appear very large or occupy a commanding position
20	think of	More often than not, ringers think of the church as something stuck on the bottom of the belfry.	keep in mind for attention or consideration,take into consideration\, have in view,look on as or consider,intend to refer to,devise or invent,choose in one's mind
21	local	When their changes are completed, and after they have worked up a sweat, ringers often skip off to the local pub, leaving worship for others below.	public transport consisting of a bus or train that stops at all stations or stops,anesthetic that numbs a particular area of the body,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,of or belonging to or characteristic of a particular locality or neighborhood,affecting only a restricted part or area of the body
22	membership	With membership of the Church of England steadily dwindling, strong-willed vicars are pressing equally strong-willed and often non-religious ringers to attend services.	the body of members of an organization or group,the state of being a member
23	ringers	Two years ago, the Rev. Jeremy Hummerstone, vicar of Great Torrington, Devon, got so fed up with ringers who did n't attend service he sacked the entire band; the ringers promptly set up a picket line in protest.	a person who rings church bells (as for summoning the congregation),a person who is almost identical to another,a contestant entered in a competition under false pretenses,(horseshoes) the successful throw of a horseshoe or quoit so as to encircle a stake or peg
24	church	At St. Mary 's Church in Ilminster, Somerset, the bells have fallen silent following a dust-up over church attendance.	one of the groups of Christians who have their own beliefs and forms of worship,a place for public (especially Christian) worship,a service conducted in a house of worship,the body of people who attend or belong to a particular local church,perform a special church rite or service for
25	ringers	`` So crunch, crunch, crunch, bang, bang, bang-- here come the ringers from above, making a very obvious exit while the congregation is at prayer,`` he says.	a person who rings church bells (as for summoning the congregation),a person who is almost identical to another,a contestant entered in a competition under false pretenses,(horseshoes) the successful throw of a horseshoe or quoit so as to encircle a stake or peg
26	admits	Vicar Marshall admits to mixed feelings about this issue, since he is both a vicar and an active bell-ringer himself.	declare to be true or admit the existence or reality or truth of,allow to enter; grant entry to,allow participation in or the right to be part of; permit to exercise the rights\, functions\, and responsibilities of,admit into a group or community,afford possibility,give access or entrance to,have room for; hold without crowding,serve as a means of entrance
27	relations	The Central Council of Church Bell Ringers, a sort of parliament of ringing groups, aims to improve relations with vicars, says John C. Baldwin, president.	mutual dealings or connections or communications among persons or groups,an abstraction belonging to or characteristic of two entities or parts together,the act of sexual procreation between a man and a woman; the man's penis is inserted into the woman's vagina and excited until orgasm and ejaculation occur,a person related by blood or marriage,an act of narration,(law) the principle that an act done at a later time is deemed by law to have occurred at an earlier time,(usually plural) mutual dealings or connections among persons or groups
28	entitled	It hopes to speak to students at theological colleges about the joys of bell ringing and will shortly publish a booklet for every vicar in the country entitled,`` The Bells in Your Care.``	give the right to,give a title to,give a title to someone; make someone a member of the nobility
29	priority	Says Mr. Baldwin,`` We recognize that we may no longer have as high a priority in church life and experience.``	status established in order of importance or urgency,preceding in time
30	ringers	Also, ringers do not always live where the bells need to be rung-- like in small, rural parishes and inner-city churches.	a person who rings church bells (as for summoning the congregation),a person who is almost identical to another,a contestant entered in a competition under false pretenses,(horseshoes) the successful throw of a horseshoe or quoit so as to encircle a stake or peg
31	attract	But the council 's program to attract and train ringers is only partly successful, says Mr. Baldwin.	direct toward itself or oneself by means of some psychological power or physical attributes,be attractive to,exert a force on (a body) causing it to approach or prevent it from moving away
32	today	One bright sign is that a growing number of women have entered the once male-dominated field; more than a third of the ringers today are women.	the present time or age,the day that includes the present moment (as opposed to yesterday or tomorrow),in these times; - Nancy Mitford,on this day as distinct from yesterday or tomorrow
33	women	The oldest bell-ringing group in the country, the Ancient Society of College Youths, founded in 1637, remains male-only, a fact that 's particularly galling to women because the group is the sole source of ringers for Britain 's most prestigious churches, St. Paul 's Cathedral and Westminster Abbey.	an adult female person (as opposed to a man),a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man,a human female employed to do housework,women as a class
34	surfaced	This being Britain, no woman has filed an equal-opportunity suit, but the extent of the problem surfaced this summer in a series of letters to`` The Ringing World,`` a weekly newspaper for ringers.	the outer boundary of an artifact or a material layer constituting or resembling such a boundary,the extended two-dimensional outer boundary of a three-dimensional object,the outermost level of the land or sea,a superficial aspect as opposed to the real nature of something,information that has become public,a device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight,come to the surface,put a coat on; cover the surface of; furnish with a surface,appear or become visible; make a showing,on the surface
35	torrent	In the torrent of replies that followed, one woman ringer from Solihull observed that`` the average male ringer leaves quite a lot to be desired: badly dressed, decorated with acne and a large beer-belly, frequently unwashed and unbearably flatulent in peals.``	a heavy rain,a violently fast stream of water (or other liquid),an overwhelming number or amount
36	belfry	Another women wrote from Sheffield to say that in her 60 years of ringing,`` I have never known a lady to faint in the belfry.	a bell tower; usually stands alone unattached to a building,a room (often at the top of a tower) where bells are hung
37	chaotic	Medical scientists are starting to uncover a handful of genes which, if damaged, unleash the chaotic growth of cells that characterizes cancer.	lacking a visible order or organization,completely unordered and unpredictable and confusing,of or relating to a sensitive dependence on initial conditions
38	discovery	Scientists say the discovery of these genes in recent months is painting a new and startling picture of how cancer develops.	the act of discovering something,something that is discovered,a productive insight,(law) compulsory pretrial disclosure of documents relevant to a case; enables one side in a litigation to elicit information from the other side concerning the facts in the case
39	emerging	An emerging understanding of the genes is expected to produce an array of new strategies for future cancer treatment and prevention.	come out into view\, as from concealment,come out of,become known or apparent,come up to the surface of or rise,happen or occur as a result of something
40	future	That is for the future.	the time yet to come,a verb tense that expresses actions or states in the future,bulk commodities bought or sold at an agreed price for delivery at a specified future date,yet to be or coming,effective in or looking toward the future,(of elected officers) elected but not yet serving,a verb tense or other formation referring to events or states that have not yet happened
41	just	`` It 's a super-exciting set of discoveries,`` says Bert Vogelstein, a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer.	used especially of what is legally or ethically right or proper or fitting; - A.Lincoln,fair to all parties as dictated by reason and conscience,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,of moral excellence,and nothing more,indicating exactness or preciseness,only a moment ago,absolutely,only a very short time before; ; ; ; ; - W.B.Yeats,exactly at this moment or the moment described
42	decade	`` Only a decade ago cancer was a black box about which we knew nothing at the molecular level.	a period of 10 years,the cardinal number that is the sum of nine and one; the base of the decimal system
43	simply	Scientists call the new class of genes tumor-suppressors, or simply anti-cancer genes.	and nothing more,absolutely,absolutely; altogether; really,in a simple manner; without extravagance or embellishment
44	early	The newly identified genes differ from a family of genes discovered in the early 1980s called oncogenes.	at or near the beginning of a period of time or course of events or before the usual or expected time,being or occurring at an early stage of development,belonging to the distant past,very young,of an early stage in the development of a language or literature,expected in the near future,during an early stage,before the usual time or the time expected,in good time
45	normal	Oncogenes must be present for a cell to become malignant, but researchers have found them in normal as well as in cancerous cells, suggesting that oncogenes do n't cause cancer by themselves.	something regarded as a normative example,conforming with or constituting a norm or standard or level or type or social norm; not abnormal,in accordance with scientific laws,being approximately average or within certain limits in e.g. intelligence and development,forming a right angle
46	proliferating	In recent months, researchers have come to believe the two types of cancer genes work in concert: An oncogene may turn proliferating cells malignant only after the tumor-suppressor gene has been damaged.	grow rapidly,cause to grow or increase rapidly
47	parent	Like all genes, tumor-suppressor genes are inherited in two copies, one from each parent.	a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,an organism (plant or animal) from which younger ones are obtained,bring up
48	impaired	Either copy can make the proteins needed to control cell growth, so for cancer to arise, both copies must be impaired.	make worse or less effective,make imperfect,diminished in strength\, quality\, or utility,mentally or physically unfit
49	cancer	The Dedham, Mass., couple knew even before Bonnie became pregnant in 1987 that any child of theirs had a 50% chance of being at risk for retinoblastoma, an eye cancer that occurs about once every 20,000 births.	any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,(astrology) a person who is born while the sun is in Cancer,a small zodiacal constellation in the northern hemisphere; between Leo and Gemini,the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22,type genus of the family Cancridae
50	became	Because of the isolation of the retinoblastoma tumor-suppressor gene, it became possible last January to find out what threat the Quinlan baby faced.	enter or assume a certain state or condition,undergo a change or development,come into existence,enhance the appearance of
51	children	A test using new`` genetic probes`` showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and, therefore, faced no more risk than other children of developing the rare cancer.	a young person of either sex,a human offspring (son or daughter) of any age,an immature childish person,a member of a clan or tribe
52	expect	This test was the first to predict reliably whether an individual could expect to develop cancer.	regard something as probable or likely,consider obligatory; request and expect,look forward to the probable occurrence of,consider reasonable or due,look forward to the birth of a child,be pregnant with
53	months	Equally important, the initial discovery of the gene that controls retinal cell growth, made by a Boston doctor named Thaddeus Dryja, has opened a field of cancer study, which in recent months has exploded.	one of the twelve divisions of the calendar year,a time unit of approximately 30 days
54	cancer	`` It turns out that studying a tragic but uncommon tumor made possible some fundamental insights about the most basic workings of cancer,`` says Samuel Broder, director of the National Cancer Institute.	any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,(astrology) a person who is born while the sun is in Cancer,a small zodiacal constellation in the northern hemisphere; between Leo and Gemini,the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22,type genus of the family Cancridae
55	discovery	Dr. Dryja made his retinoblastoma discovery in 1986.	the act of discovering something,something that is discovered,a productive insight,(law) compulsory pretrial disclosure of documents relevant to a case; enables one side in a litigation to elicit information from the other side concerning the facts in the case
56	colon	Then last spring, researchers reported finding a gene called p53 which, if impaired, turns healthy colon cells cancerous.	the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted,the basic unit of money in El Salvador; equal to 100 centavos,the basic unit of money in Costa Rica; equal to 100 centimos,a port city at the Caribbean entrance to the Panama Canal,a punctuation mark (:) used after a word introducing a series or an example or an explanation (or after the salutation of a business letter)
57	breast	Soon after that report, two other research teams uncovered evidence that the same damaged p53 gene is present in tissue from lung and breast cancers.	the front of the trunk from the neck to the abdomen,either of two soft fleshy milk-secreting glandular organs on the chest of a woman,meat carved from the breast of a fowl,the part of an animal's body that corresponds to a person's chest,meet at breast level,reach the summit (of a mountain),confront bodily
58	about	Right now about a dozen laboratories, in the U.S., Canada and Britain, are racing to unmask other suspected tumor-suppressing genes.	on the move,(of quantities) imprecise but fairly close to correct,all around or on all sides,in the area or vicinity,used of movement to or among many different places or in no particular direction,in or to a reversed position or direction,in rotation or succession,(of actions or states) slightly short of or not quite accomplished; all but
59	about	They have about seven candidates.	on the move,(of quantities) imprecise but fairly close to correct,all around or on all sides,in the area or vicinity,used of movement to or among many different places or in no particular direction,in or to a reversed position or direction,in rotation or succession,(of actions or states) slightly short of or not quite accomplished; all but
60	appears	Researchers say the inactivation of tumor-suppressor genes, alone or in combination, appears crucial to the development of such scourges as cancer of the brain, the skin, kidney, prostate, and cervix.	give a certain impression or have a certain outward aspect,come into sight or view,be issued or published,seem to be true\, probable\, or apparent,come into being or existence\, or appear on the scene,appear as a character on stage or appear in a play\, etc.,present oneself formally\, as before a (judicial) authority
61	certain	There is evidence that if people inherit defective versions of these genes, they are especially prone to cancer, perhaps explaining, finally, why some cancers seem to haunt certain families.	definite but not specified or identified,having or feeling no doubt or uncertainty; confident and assured,established beyond doubt or question; definitely known,certain to occur; destined or inevitable; ; ; - Benjamin Franklin,established irrevocably,reliable in operation or effect,exercising or taking care great enough to bring assurance
62	story	The story of tumor-suppressor genes goes back to the 1970s, when a pediatrician named Alfred G. Knudson Jr. proposed that retinoblastoma stemmed from two separate genetic defects.	a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program,a piece of fiction that narrates a chain of related events,a structure consisting of a room or set of rooms at a single position along a vertical scale,a record or narrative description of past events,a short account of the news,a trivial lie
63	inherited	He theorized that in the eye cancer, an infant inherited a damaged copy of a gene from one parent and a normal copy from the other.	obtain from someone after their death,receive from a predecessor,receive by genetic transmission
64	damaged	The tumor, he suggested, developed when the second, normal copy also was damaged.	the occurrence of a change for the worse,loss of military equipment,the act of damaging something or someone,the amount of money needed to purchase something,any harm or injury resulting from a violation of a legal right,inflict damage upon,suffer or be susceptible to damage
65	theory	But there was no way to prove Dr. Knudson 's`` two-hit`` theory.	a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena,a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena,a belief that can guide behavior
66	damage	Occasionally, gross chromosome damage was visible.	the occurrence of a change for the worse,loss of military equipment,the act of damaging something or someone,the amount of money needed to purchase something,any harm or injury resulting from a violation of a legal right,inflict damage upon,suffer or be susceptible to damage
67	critical	He assumed the missing piece contained a gene or genes whose loss had a critical role in setting off the cancer.	marked by a tendency to find and call attention to errors and flaws,at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction,characterized by careful evaluation and judgment,urgently needed; absolutely necessary,forming or having the nature of a turning point or crisis,being in or verging on a state of crisis or emergency,of or involving or characteristic of critics or criticism
68	molecular	Then, a scientific team led by molecular geneticist Webster Cavenee, then at the University of Utah, found the answer.	relating to or produced by or consisting of molecules,relating to simple or elementary organization; --G.A. Miller
69	presence	The team used a battery of the newly developed`` gene probes,`` snippets of genetic material that can track a gene 's presence in a cell.	the state of being present; current existence,the immediate proximity of someone or something,an invisible spiritual being felt to be nearby,the impression that something is present,dignified manner or conduct,the act of being present
70	analyzing	By analyzing cells extracted from eye tumors, they found defects in the second copy of chromosome 13 in the exact area as in the first copy of the chromosome.	consider in detail and subject to an analysis in order to discover essential features or meaning,make a mathematical\, chemical\, or grammatical analysis of; break down into components or essential features,break down into components or essential features,subject to psychoanalytic treatment
71	audacious	It was an audacious claim.	invulnerable to fear or intimidation,unrestrained by convention or propriety; ; ; - Los Angeles Times; ; ; - Bertrand Russell,disposed to venture or take risks
72	other	But in Baltimore, Dr. Vogelstein, a young molecular biologist at Johns Hopkins Medical School, believed Dr. Knudson was right, and set out to repeat the Cavenee experiment in cells from other cancers.	not the same one or ones already mentioned or implied; - the White Queen,recently past,belonging to the distant past,very unusual; different in character or quality from the normal or expected; - Lance Morrow
73	rare	His was one of two research teams in 1984 to report dual chromosome losses for a rare childhood cancer of the kidney called Wilm 's tumor.	not widely known; especially valued for its uncommonness,recurring only at long intervals,not widely distributed,having low density,marked by an uncommon quality; especially superlative or extreme of its kind; -J.R.Lowell,(of meat) cooked a short time; still red inside
74	deadly	It often is preceded by the development of polyps in the bowel, which in some cases become increasingly malignant in identifiable stages-- progressing from less severe to deadly-- as though a cascade of genetic damage might be occurring.	causing or capable of causing death,of an instrument of certain death,extremely poisonous or injurious; producing venom,involving loss of divine grace or spiritual death,exceedingly harmful,(of a disease) having a rapid course and violent effect,as if dead,(used as intensives) extremely
75	only	They began uncovering a confusing variety of genetic deletions, some existing only in benign polyps, others in malignant cells and many in both polyps and malignant cells.	being the only one; single and isolated from others,exclusive of anyone or anything else,and nothing more,without any others being included or involved,with nevertheless the final result,in the final outcome,except that,never except when,as recently as
76	progress	If both copies of a second gene were then deleted, the polyps would progress to malignancy.	gradual improvement or growth or development,the act of moving forward (as toward a goal),a movement forward,develop in a positive way,move forward\, also in the metaphorical sense,form or accumulate steadily
77	more	It was clear that more than one gene had to be damaged for colon cancer to develop.	English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia\, the ideal state,(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree,(comparative of `many' used with count nouns) quantifier meaning greater in number,used to form the comparative of some adjectives and adverbs,comparative of much; to a greater degree or extent
78	development	`` It was the confirming evidence we all needed that gene losses were critical to the development of a common tumor,`` says Ray White at Howard Hughes Medical Institute in Salt Lake City.	act of improving by expanding or enlarging or refining,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage),(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level,a recent event that has some relevance for the present situation,the act of making some area of land or water more profitable or productive or useful,a district that has been developed to serve some purpose,a state in which things are improving; the result of developing (as in the early part of a game of chess),processing a photosensitive material in order to make an image visible,(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated
79	yet	But Dr. Vogelstein had yet to nail the identity of the gene that, if damaged, flipped a colon cell into full-blown malignancy.	up to the present time,used in negative statement to describe a situation that has existed up to this point or up to the present time,to a greater degree or extent; used with comparisons,within an indefinite time or at an unspecified future time,used after a superlative,despite anything to the contrary (usually following a concession)
80	winter	When they found it last winter, Dr. Vogelstein was dubious that the search was over.	the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox,spend the winter
81	doubts	His doubts stemmed from the fact that several years earlier a Princeton University researcher, Arnold Levine, had found in experiments with mice that a gene called p53 could transform normal cells into cancerous ones.	the state of being unsure of something,uncertainty about the truth or factuality or existence of something,consider unlikely or have doubts about,lack confidence in or have doubts about
82	exactly	The deletion Dr. Vogelstein found was in exactly the same spot as p53.	indicating exactness or preciseness,just as it should be,in a precise manner
83	cancer	But Mr. Levine had said the p53 gene caused cancer by promoting growth, whereas the Johns Hopkins scientists were looking for a gene that suppressed growth.	any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,(astrology) a person who is born while the sun is in Cancer,a small zodiacal constellation in the northern hemisphere; between Leo and Gemini,the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22,type genus of the family Cancridae
84	cancer	Despite that, when the Johns Hopkins scientists compared the gene they had found in the human cancer cells with the Mr. Levine 's p53 gene they found the two were identical; it turned out that in Mr. Levine 's cancer studies, he had unknowingly been observing a damaged form of p53-- a cancer-suppressing gene.	any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,(astrology) a person who is born while the sun is in Cancer,a small zodiacal constellation in the northern hemisphere; between Leo and Gemini,the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22,type genus of the family Cancridae
85	emerging	Evidence now is emerging that the p53 suppressor gene is involved in other cancers, too.	come out into view\, as from concealment,come out of,become known or apparent,come up to the surface of or rise,happen or occur as a result of something
86	breast	The scientists say that since breast cancer often strikes multiple members of certain families, the gene, when inherited in a damaged form, may predispose women to the cancer.	the front of the trunk from the neck to the abdomen,either of two soft fleshy milk-secreting glandular organs on the chest of a woman,meat carved from the breast of a fowl,the part of an animal's body that corresponds to a person's chest,meet at breast level,reach the summit (of a mountain),confront bodily
87	cancers	There also are reports from several labs, as yet unpublished, of missing p53 genes in tissue taken from kidney, brain and skin cancers.	any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,(astrology) a person who is born while the sun is in Cancer,a small zodiacal constellation in the northern hemisphere; between Leo and Gemini,the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22,type genus of the family Cancridae
88	At the same time	At the same time, the Johns Hopkins team and others are rushing to pinpoint other tumor-suppressor genes.	at the same instant,overlapping in duration
89	colon	Dr. Vogelstein hopes soon to isolate one on chromosome 18, also involved in colon cancer.	the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted,the basic unit of money in El Salvador; equal to 100 centavos,the basic unit of money in Costa Rica; equal to 100 centimos,a port city at the Caribbean entrance to the Panama Canal,a punctuation mark (:) used after a word introducing a series or an example or an explanation (or after the salutation of a business letter)
90	inherit	Dr. Minna believes people who inherit a defective gene somewhere on one of their two copies of chromosome 3 are especially prone to lung cancer.	obtain from someone after their death,receive from a predecessor,receive by genetic transmission
91	involved	Recently, he and others reported that the retinoblastoma suppressor gene may also be involved in some lung cancers, as well as several other more common cancers, too.	connect closely and often incriminatingly,engage as a participant,have as a necessary feature,require as useful\, just\, or proper,contain as a part,occupy or engage the interest of,make complex or intricate or complicated
92	only	Where these discoveries will lead, scientists can only speculate.	being the only one; single and isolated from others,exclusive of anyone or anything else,and nothing more,without any others being included or involved,with nevertheless the final result,in the final outcome,except that,never except when,as recently as
93	idea	The idea would be to administer to patients the growth-controlling proteins made by healthy versions of the damaged genes.	the content of cognition; the main thing you are thinking about,your intention; what you intend to do,a personal view,an approximate calculation of quantity or degree or worth,(music) melodic subject of a musical composition
94	versions	It may even be possible to replace defective genes with healthy versions, though no one has come close to doing that so far.	an interpretation of a matter from a particular viewpoint,something a little different from others of the same type,a written work (as a novel) that has been recast in a new form,a written communication in a second language having the same meaning as the written communication in a first language,a mental representation of the meaning or significance of something,manual turning of a fetus in the uterus (usually to aid delivery)
95	want	It 's that we do not want to.	a state of extreme poverty,the state of needing something that is absent or unavailable,anything that is necessary but lacking,a specific feeling of desire,feel or have a desire for; want strongly,have need of,hunt or look for; want for a particular reason,wish or demand the presence of,be without\, lack; be deficient in
96	education	And the reason we do not want to is that effective education would require us to relinquish some cherished metaphysical beliefs about human nature in general and the human nature of young people in particular, well as to violate some cherished vested interests.	the activities of educating or instructing; activities that impart knowledge or skill,knowledge acquired by learning and instruction,the gradual process of acquiring knowledge,the profession of teaching (especially at a school or college or university),the result of good upbringing (especially knowledge of correct social behavior),the United States federal department that administers all federal programs dealing with education (including federal aid to educational institutions and students); created 1979
97	parents	These beliefs so dominate our educational establishment, our media, our politicians, and even our parents that it seems almost blasphemous to challenge them.	a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,an organism (plant or animal) from which younger ones are obtained,bring up
98	Here	Here is an example.	the present location; this place,queen of the Olympian gods in ancient Greek mythology; sister and wife of Zeus remembered for her jealously of the many mortal women Zeus fell in love with; identified with Roman Juno,being here now,in or at this place; where the speaker or writer is,in this circumstance or respect or on this point or detail,to this place (especially toward the speaker),at this time; now
99	ask	If I were to ask a sample of American parents,`` Do you wish the elementary schools to encourage creativity in your children?`` the near-unanimous answer would be,`` Yes, of course.``	inquire about,make a request or demand for something to somebody,direct or put; seek an answer to,consider obligatory; request and expect,address a question to and expect an answer from,require as useful\, just\, or proper,require or ask for as a price or condition
100	incompetence	The result is a generation of young people whose ignorance and intellectual incompetence is matched only by their good opinion of themselves.	lack of physical or intellectual ability or qualifications,inability of a part or organ to function properly
101	authoritarian	The whole notion of`` creativity`` in education was( and is) part and parcel of a romantic rebellion against disciplined instruction, which was( and is) regarded as`` authoritarian,`` a repression and frustration of the latent talents and the wonderful, if as yet undefined, potentialities inherent in the souls of all our children.	a person who behaves in a tyrannical manner,characteristic of an absolute ruler or absolute rule; having absolute sovereignty,expecting unquestioning obedience
102	attractive	It is not surprising that parents find this romantic extravagance so attractive.	pleasing to the eye or mind especially through beauty or charm,having power to arouse interest,having the properties of a magnet; the ability to draw or pull
103	same	Fortunately, these same parents do want their children to get a decent education as traditionally understood, and they have enough common sense to know what that demands.	a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer,the language of nomadic Lapps in northern Scandinavia and the Kola Peninsula,same in identity,closely similar or comparable in kind or quality or quantity or degree,equal in amount or value,unchanged in character or nature
104	commitment	Their commitment to`` creativity`` can not survive adolescent illiteracy.	the trait of sincere and steadfast fixity of purpose,the act of binding yourself (intellectually or emotionally) to a course of action,an engagement by contract involving financial obligation,a message that makes a pledge,the official act of consigning a person to confinement (as in a prison or mental hospital)
105	prevail	American education 's future will be determined by the degree to which we-- all of us-- allow this common sense to prevail over the illusions that we also share.	be larger in number\, quantity\, power\, status or importance,be valid\, applicable\, or true,continue to exist,prove superior,use persuasion successfully
