participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
v8jw39uu,1,42,c6hrzzaz,1-wsd-136,Participant 1,the ownership interest of shareholders in a corporation,1655116113.0095575
v8jw39uu,1,48,5dw26fpk,1-wsd-136,Participant 2,the ownership interest of shareholders in a corporation,1655116116.1811023
v8jw39uu,1,28,tj9eap24,1-wsd-136,Participant 3,ок,1655116120.6897671
v8jw39uu,1,45,47ztl1u0,1-wsd-104,Participant 3,the act of nodding the head,1655116136.3929658
v8jw39uu,1,28,tj9eap24,1-wsd-137,Participant 3,ответ?,1655116187.8174021
v8jw39uu,1,48,5dw26fpk,1-wsd-137,Participant 2,a person who acts and gets things done,1655116189.3268123
v8jw39uu,1,42,c6hrzzaz,1-wsd-137,Participant 1,a member of the working class (not necessarily employed),1655116192.2528892
v8jw39uu,1,28,tj9eap24,1-wsd-137,Participant 3,a member of the working class (not necessarily employed),1655116203.13597
v8jw39uu,1,48,5dw26fpk,1-wsd-137,Participant 2,ок,1655116210.5049436
v8jw39uu,1,36,kzlwe574,1-wsd-115,Participant 3,Conformity,1655116277.8861442
v8jw39uu,1,26,uacdg9di,1-wsd-115,Participant 2,the difference between the market value of a property and the claims held against it,1655116281.2717483
v8jw39uu,1,36,kzlwe574,1-wsd-115,Participant 3,"Ok, select ""Difference...",1655116300.204764
v8jw39uu,1,28,tj9eap24,1-wsd-138,Participant 3,Ответ?,1655116317.4014883
v8jw39uu,1,42,c6hrzzaz,1-wsd-138,Participant 1,a member of the working class (not necessarily employed),1655116324.2885811
v8jw39uu,1,28,tj9eap24,1-wsd-138,Participant 3,ок,1655116330.4854562
v8jw39uu,1,28,tj9eap24,1-wsd-139,Participant 3,Ответ?,1655116420.1906621
v8jw39uu,1,42,c6hrzzaz,1-wsd-139,Participant 1,concerning one person exclusively,1655116431.347578
v8jw39uu,1,28,tj9eap24,1-wsd-139,Participant 3,ок,1655116439.4346046
v8jw39uu,1,48,5dw26fpk,1-wsd-139,Participant 2,concerning one person exclusively,1655116439.7648258
v8jw39uu,1,28,tj9eap24,1-wsd-140,Participant 3,Ответ?,1655116512.9268186
v8jw39uu,1,42,c6hrzzaz,1-wsd-140,Participant 1,"move downward and lower, but not necessarily all the way",1655116516.7788303
v8jw39uu,1,48,5dw26fpk,1-wsd-140,Participant 2,do something that one considers to be below one's dignity,1655116518.663587
v8jw39uu,1,28,tj9eap24,1-wsd-140,Participant 3,Согласен,1655116523.9880571
v8jw39uu,1,28,tj9eap24,1-wsd-140,Participant 3,Спасибо за совместную работу)),1655116541.3851879
v8jw39uu,1,36,kzlwe574,1-wsd-116,Participant 3,The ownership...,1655116554.519366
v8jw39uu,1,36,kzlwe574,1-wsd-116,Participant 3,?,1655116569.256524
v8jw39uu,1,36,kzlwe574,1-wsd-118,Participant 3,Working class,1655117096.6662798
v8jw39uu,1,36,kzlwe574,1-wsd-118,Participant 3,?,1655117108.315275
v8jw39uu,1,36,kzlwe574,1-wsd-118,Participant 3,?,1655117132.1851978
v8jw39uu,1,36,kzlwe574,1-wsd-118,Participant 3,?,1655117158.2768812
v8jw39uu,1,36,kzlwe574,1-wsd-119,Participant 3,concerning,1655117409.42419
v8jw39uu,1,36,kzlwe574,1-wsd-119,Participant 3,?,1655117419.956379
