participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.time_for_initial_decision,player.time_for_decision_when_disagreement_occurred,player.intermediary_payoff,player.written_outcome,player.initial_decision,player.phrase,player.sentence,player.senses,player.decision,group.id_in_subsession,group.is_initial_agreement,group.is_eventual_agreement,group.is_golden_label,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,tw74rorl,00020551b2--62a70d8ecd14e60843e78e37,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.510453+00:00,1,,,30,1,,0,89.827629,24.532006,0,Your team disagrees,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,7,12,0,0,,1,v8jw39uu,,,,,0
12,279d0sem,00020551b2--62a70d95552bd0485174af98,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.921804+00:00,1,,,60,1,,0,185.605473,87.895805,0,Your team disagrees,5,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,7,0,0,,1,v8jw39uu,,,,,0
13,pvtljswc,00020551b2--62a70d95598d17774f254226,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:45.910364+00:00,1,,,50,1,,0,197.480851,98.684166,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,5,0,0,,1,v8jw39uu,,,,,0
14,8eabaeoj,00020551b2--62a70d97e3af0f15c4b93a1f,0,95,95,last,Last,2022-06-13 10:12:46.434830+00:00,1,,,36,2,,0,133.473786,43.920603,0,Your team disagrees,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,3,5,0,0,,1,v8jw39uu,,,,,0
15,bclront8,00020551b2--62a70d946c08bd0cc60e0356,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:47.918474+00:00,1,,,53,2,,0,163.508561,48.04781,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,7,0,0,,1,v8jw39uu,,,,,0
16,qle1y5e1,00020551b2--62a70d9473c63f3d1e230585,0,95,95,last,Last,2022-06-13 10:12:47.804604+00:00,1,,,40,3,,0,159.708795,28.644604,0,Your team disagrees,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,3,4,0,0,,1,v8jw39uu,,,,,0
17,iams0aoo,00020551b2--62a70d99450a60329403123f,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:49.100502+00:00,1,,,40,1,,0,195.638027,98.768845,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,4,0,0,,1,v8jw39uu,,,,,0
18,jt4q5kny,00020551b2--62a70d9b305db237b24019d2,0,1,95,intro_matcher,Intro,2022-06-13 10:12:50.221459+00:00,1,,,0,18,,0,,,,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,v8jw39uu,,,,,0
19,twn9fb4m,00020551b2--62a70d9973c63f3d1e230594,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:50.520395+00:00,1,,,80,1,,0,194.891537,43.352404,0,Your team disagrees,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,2,6,0,0,,1,v8jw39uu,,,,,0
20,b1cz8e00,00020551b2--62a70d8f059cac0e9377c349,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:53.233784+00:00,1,,,70,1,,0,112.831556,90.979534,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,8,0,0,,1,v8jw39uu,,,,,0
21,6ivnoczu,00020551b2--62a70d9d305db237b24019dd,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:53.392902+00:00,1,,,80,2,,0,257.079531,7.578672,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,6,0,0,,1,v8jw39uu,,,,,0
22,1e9fragw,00020551b2--62a70d92276629520ee30bd2,0,95,95,last,Last,2022-06-13 10:12:57.793744+00:00,1,,,53,3,,10,,46.522377,10,"Your team agrees with you, congratulations!",8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,10,1,1,,1,v8jw39uu,,,,,0
23,mfwbhe8j,13800773d2--60l59L59695667983UO17rs3,0,1,95,intro_matcher,Intro,2022-06-13 10:13:04.282305+00:00,1,,,0,23,,0,,,,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,v8jw39uu,,,,,0
24,a9ef39uv,00020551b2--62a70da10b8a5816989b1351,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:01.842300+00:00,1,,,70,2,,0,194.782434,97.840745,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,8,0,0,,1,v8jw39uu,,,,,0
25,sghkmgy7,00020551b2--62a70d9302e0db560185727c,0,1,95,intro_matcher,Intro,2022-06-13 10:13:01.931196+00:00,1,,,0,25,,0,,,,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,v8jw39uu,,,,,0
26,uacdg9di,00020551b2--62a70d9e6c08bd0cc60e03b6,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:03.260038+00:00,1,,,23,2,,0,96.120712,40.035879,0,Your team disagrees,6,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,6,12,0,0,,1,v8jw39uu,,,,,0
27,drll18h9,00020551b2--62a70da7c6f5d259c540359a,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:06.434827+00:00,1,,,70,3,,0,131.061561,63.769739,0,Your team disagrees,7,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,6,8,0,0,,1,v8jw39uu,,,,,0
28,tj9eap24,00020551b2--62a70da4f47dc619007228c6,0,95,95,last,Last,2022-06-13 10:13:08.465520+00:00,1,,,45,3,,0,182.452172,90.918967,0,Your team disagrees,6,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,2,14,0,0,,1,v8jw39uu,,,,,0
29,wwmxiren,00020551b2--62a70d91521e6373d2aeca32,0,95,95,last,Last,2022-06-13 10:13:10.081237+00:00,1,,,3,1,,0,156.295599,14.558275,0,Your team disagrees,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,3,9,0,0,,1,v8jw39uu,,,,,0
30,sfccokok,00020551b2--62a70d884f0ede6bfabded34,0,95,95,last,Last,2022-06-13 10:13:11.752566+00:00,1,,,36,1,,0,106.424014,84.420316,0,Your team disagrees,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,13,0,0,,1,v8jw39uu,,,,,0
31,f8d4gvps,00020551b2--62a70dacda9c6a5d5a4f2be8,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:12.370736+00:00,1,,,60,3,,0,112.971351,62.155748,0,Your team disagrees,2,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,2,7,0,0,,1,v8jw39uu,,,,,0
32,7yty41jr,00020551b2--62a70daec6f5d259c54035e0,0,95,95,last,Last,2022-06-13 10:13:14.844192+00:00,1,,,53,1,,10,,46.57498,10,"Your team agrees with you, congratulations!",8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,10,1,1,,1,v8jw39uu,,,,,0
33,38tdh1io,00020551b2--62a70da6f47dc619007228f7,0,95,95,last,Last,2022-06-13 10:13:15.809634+00:00,1,,,3,2,,0,108.724443,83.955185,0,Your team disagrees,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,3,9,0,0,,1,v8jw39uu,,,,,0
34,4g0beedo,00020551b2--62a70d8d4ad5fb122b867998,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:17.477785+00:00,1,,,50,2,,0,140.629446,85.197921,0,Your team disagrees,5,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,13,0,0,,1,v8jw39uu,,,,,0
35,17ajo6f1,00020551b2--62a70d9e1f3bd04c6955426e,0,95,95,last,Last,2022-06-13 10:13:18.105017+00:00,1,,,53,2,,10,,44.332803,10,"Your team agrees with you, congratulations!",8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,10,1,1,,1,v8jw39uu,,,,,0
36,kzlwe574,00020551b2--62a70daf73c63f3d1e23063e,0,95,95,last,Last,2022-06-13 10:13:19.271437+00:00,1,,,23,3,,0,132.339237,42.687647,0,Your team disagrees,1,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,1,12,0,0,,1,v8jw39uu,,,,,0
37,yketsy3q,00020551b2--62a70daa16ae3d133961f26e,0,95,95,last,Last,2022-06-13 10:13:22.985707+00:00,1,,,10,3,,0,130.822276,55.480186,0,Your team disagrees,2,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,2,9,0,0,,1,v8jw39uu,,,,,0
38,n0kgqe99,00020551b2--62a70d776bcc931cf0a107c7,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:23.576189+00:00,1,,,60,1,,0,45.005679,4.587574,0,Your team disagrees,1,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,1,11,0,0,,1,v8jw39uu,,,,,0
39,7bhm6yjf,13800773d2--60l59LDL69nO6Z983021Z94f,0,1,95,intro_matcher,Intro,2022-06-13 10:13:28.231097+00:00,1,,,0,39,,0,,,,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,v8jw39uu,,,,,0
40,kmdosfa1,00020551b2--62a70db8037a785545296a9d,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:29.996572+00:00,1,,,60,2,,0,27.148852,18.526825,0,Your team disagrees,1,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,1,11,0,0,,1,v8jw39uu,,,,,0
41,0wymj3xg,00020551b2--62a70dbdcf7868165793eb5c,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:30.440582+00:00,1,,,50,3,,0,227.893805,98.484232,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,13,0,0,,1,v8jw39uu,,,,,0
42,c6hrzzaz,00020551b2--62a70db6c6f5d259c5403609,0,95,95,last,Last,2022-06-13 10:13:31.578695+00:00,1,,,66,1,,0,169.870246,91.451598,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,14,0,0,,1,v8jw39uu,,,,,0
43,ckgsrx9v,00020551b2--62a70daaf10f623a73c3a087,0,2,95,matcher,FirstWP,2022-06-13 10:13:32.638373+00:00,1,,,0,43,,0,,,,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,v8jw39uu,,,,,0
44,px7fovuk,00020551b2--62a70dbb4f0ede6bfabdef18,0,95,95,last,Last,2022-06-13 10:13:32.820570+00:00,1,,,60,2,,0,111.804765,80.710679,0,Your team disagrees,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,5,15,0,0,,1,v8jw39uu,,,,,0
45,47ztl1u0,00020551b2--62a70d9dec4826102d0852b3,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:34.029273+00:00,1,,,60,3,,0,58.585531,19.757317,0,Your team disagrees,2,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,7,11,0,0,,1,v8jw39uu,,,,,0
46,uxj1cwd9,00020551b2--62a70d9bf47dc619007228a2,0,95,95,last,Last,2022-06-13 10:13:37.378751+00:00,1,,,53,1,,0,146.532968,32.036642,0,Your team disagrees,7,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,3,15,0,0,,1,v8jw39uu,,,,,0
47,e6i5hr4i,00020551b2--62a70db5305db237b2401ae7,0,95,95,last,Last,2022-06-13 10:13:42.356615+00:00,1,,,60,3,,0,127.652011,35.421443,0,Your team disagrees,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,15,0,0,,1,v8jw39uu,,,,,0
