INPUT:id	INPUT:sense	INPUT:phrase	INPUT:sentence	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:started	ASSIGNMENT:submitted
64	"""the occurrence of a change for the worse"",""loss of military equipment"",""the act of damaging something or someone"",""the amount of money needed to purchase something"",""any harm or injury resulting from a violation of a legal right"",""inflict damage upon"",""suffer or be susceptible to damage"""	damaged	The tumor, he suggested, developed when the second, normal copy also was damaged.	"""the occurrence of a change for the worse"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
490	"""the natural satellite of the Earth"",""any object resembling a moon"",""the period between successive new moons (29.531 days)"",""the light of the Moon"",""United States religious leader (born in Korea) who founded the Unification Church in 1954; was found guilty of conspiracy to evade taxes (born in 1920)"",""any natural satellite of a planet"",""have dreamlike musings or fantasies while awake"",""be idle in a listless or dreamy way"",""expose one's buttocks to"""	moon	The microbe does grow better on phosphorus, but showing that it can live with arsenic instead raises the possibility that a life form using arsenic could occur naturally, either elsewhere on Earth or on another planet or moon where arsenic is more common.	"""the light of the Moon"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
195	"""dismiss from the mind; stop remembering"",""be unable to remember"",""forget to do something"",""leave behind unintentionally"""	forgotten	He had already quite forgotten about him.	"""dismiss from the mind; stop remembering"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
400	"""a person authorized to conduct religious worship"",""a person appointed to a high office in the government"",""a diplomat representing one government to another; ranks below ambassador"",""the job of a head of a government department"",""attend to the wants and needs of others"",""work as a minister"""	minister	High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week.	"""a person appointed to a high office in the government"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
282	"""suitable to or characteristic of drama"",""sensational in appearance or thrilling in effect"",""pertaining to or characteristic of drama"",""used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"""	dramatic	It flopped all around, real dramatic!	"""sensational in appearance or thrilling in effect"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
524	"""a demanding or stimulating situation"",""a call to engage in a contest or fight"",""questioning a statement and demanding an explanation"",""a formal objection to the selection of a particular person as a juror"",""a demand by a sentry for a password or identification"",""take exception to"",""issue a challenge to"",""ask for identification"",""raise a formal objection in a court of law"""	challenges	Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.	"""a demanding or stimulating situation"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
37	"""lacking a visible order or organization"",""completely unordered and unpredictable and confusing"",""of or relating to a sensitive dependence on initial conditions"""	chaotic	Medical scientists are starting to uncover a handful of genes which, if damaged, unleash the chaotic growth of cells that characterizes cancer.	"""lacking a visible order or organization"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
632	"""readiness to embark on bold new ventures"",""the first of a series of actions"",""serving to set in motion"""	initiatives	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.	"""the first of a series of actions"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
549	"""a person who works at a specific occupation"",""a member of the working class (not necessarily employed)"",""sterile member of a colony of social insects that forages for food and cares for the larvae"",""a person who acts and gets things done"""	workers	Fears about the impact of immigrants are based on the notion that they are liable to replace native workers, in particular unskilled ones, exerting downward pressure on wages.	"""a person who works at a specific occupation"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
137	"""in an aggressive manner"",""in a well delineated manner"",""changing suddenly in direction and degree"",""very suddenly and to a great degree"""	sharply	There is neither mystery nor paradox in the fact that as educational expenditures( in real terms) have increased sharply in the past quarter-of-a-century-- we now spend more per pupil than any other country in the world-- educational performance has declined.	"""in an aggressive manner"""				2022-06-08T13:04:16.765	2022-06-08T13:09:04.183
510	"""the largest Latin American country and the largest Portuguese speaking country in the world; located in the central and northeastern part of South America; world's leading coffee exporter"",""three-sided tropical American nut with white oily meat and hard brown shell"""	Brazil	Brazil is the country which exercises most leadership in the region, mentioned by 19% of respondents( up from 18% last year), followed by the United States( 9%, unchanged from last year) and Venezuela( 9%, down from 11% last year).	"""the largest Latin American country and the largest Portuguese speaking country in the world; located in the central and northeastern part of South America; world's leading coffee exporter"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
1	"""a person whose occupation is making and altering garments"",""adjust to a specific need or market"",""style and tailor in a certain fashion"",""create (clothes) with cloth"""	Tailors	Dorothy L. Sayers,`` The Nine Tailors``	"""a person whose occupation is making and altering garments"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
553	"""the contestant who wins the contest"",""a gambler who wins a bet"",""a person with a record of successes"""	winners	And does so without taking into account the fact that the diversity contributed by immigrants contributes to the creation of ideas and to economic growth( a large proportion of naturalised immigrants are among American Nobel prize winners, whilst Google, Intel, Paypal, eBay and Yahoo were all founded by immigrants).	"""the contestant who wins the contest"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
94	"""an interpretation of a matter from a particular viewpoint"",""something a little different from others of the same type"",""a written work (as a novel) that has been recast in a new form"",""a written communication in a second language having the same meaning as the written communication in a first language"",""a mental representation of the meaning or significance of something"",""manual turning of a fetus in the uterus (usually to aid delivery)"""	versions	It may even be possible to replace defective genes with healthy versions, though no one has come close to doing that so far.	"""something a little different from others of the same type"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
406	"""a cooperative unit (especially in sports)"",""two or more draft animals that work together to pull something"",""form a team"""	team	Caja Laboral achieved a stunning 82-91 victory on their visit to the Maccabee Electra court despite Dusko Ivanovic 's team 's heavy losses, and after the great performance by Mizra Teltovic, who was the best on his team with eight three-pointers scored( 29 points), they now at the top of their group.	"""a cooperative unit (especially in sports)"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
123	"""the property resulting from being or relating to the greater in number of two parts; the main part"",""(elections) more than half of the votes"",""the age at which persons are considered competent to manage their own affairs"""	majority	Conversely, there are the majority of unsuccessful schools, and we know which efforts at educational reform are doomed beforehand.	"""the property resulting from being or relating to the greater in number of two parts; the main part"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
440	"""earnest or urgent request"",""attractiveness that interests or pleases or stimulates"",""(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial"",""request for a sum of money"",""take a court case to a higher court for review"",""request earnestly (something from somebody); ask for aid or protection"",""be attractive to"",""challenge (a decision)"",""cite as an authority; resort to"""	appeals	But lawyers for Mr. Hayes have already made court filings that sketch out appeals arguments that are likely to occupy the courts for years.	"""(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
599	"""(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)"",""what something is used for"",""the actions and activities assigned to or required or expected of a person or group"",""a relation such that one thing is dependent on another"",""a formal or official social gathering or ceremony"",""a vaguely specified social event"",""a set sequence of steps\, part of larger computer program"",""perform as expected when applied"",""serve a purpose\, role\, or function"",""perform duties attached to a particular office or place or function"""	function	-gt: It s the way to specify the bounded variable in a function.	"""(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
131	"""the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited"",""one of a number of things from which only one can be chosen"",""the act of choosing or selecting"""	option	If parents are dissatisfied with a school, they should have the option of switching to another.	"""the act of choosing or selecting"""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
244	"""a victory (as in a race or other competition)"",""something won (especially money)"",""be the winner in a contest or competition; be victorious"",""win something through one's efforts"",""obtain advantages\, such as points\, etc."",""attain success or reach a desired goal"""	wins	Second, it explains why voters hold Congress in disdain but generally love their own congressional representatives: Any individual legislator 's constituents appreciate the specific benefits that the legislator wins for them but not the overall cost associated with every other legislator doing likewise for his own constituency.	"""obtain advantages, such as points, etc."""				2022-06-08T13:04:16.166	2022-06-08T13:11:49.756
123	"""the property resulting from being or relating to the greater in number of two parts; the main part"",""(elections) more than half of the votes"",""the age at which persons are considered competent to manage their own affairs"""	majority	Conversely, there are the majority of unsuccessful schools, and we know which efforts at educational reform are doomed beforehand.	"""the property resulting from being or relating to the greater in number of two parts; the main part"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
320	"""reasoning from detailed facts to general principles"",""an idea or conclusion having general application"",""the process of formulating general concepts by abstracting common properties of instances"",""(psychology) transfer of a response learned to one stimulus to a similar stimulus"""	generalizations	The interactions between health and homelessness are complex, defying sweeping generalizations as to`` cause`` or`` effect.``	"""reasoning from detailed facts to general principles"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
625	"""a small elite group"",""a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number"""	few	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common.	"""a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
596	"""a subdivision of a particular kind of thing"",""a person of a specified kind (usually with many eccentricities)"",""(biology) the taxonomic group whose characteristics are used to define the next higher taxon"",""printed characters"",""all of the tokens of the same symbol"",""a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper"",""write by means of a keyboard with types"",""identify as belonging to a certain type"""	type	Below these tabs you will find an input field to type your functions or do your calculations.	"""write by means of a keyboard with types"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
540	"""(often followed by `of') a large number or amount or extent"",""a parcel of land having fixed boundaries"",""an unofficial association of people or groups"",""your overall circumstances or condition in life (including everything that happens to you)"",""anything (straws or pebbles etc.) taken or chosen at random"",""any collection in its entirety"",""(Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah but chose to spare Lot and his family who were told to flee without looking back at the destruction"",""divide into lots\, as of land\, for example"",""administer or bestow\, as in small portions"""	lot	There is a lot of consensus between the Left and the Right on this subject.	"""(often followed by `of') a large number or amount or extent"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
632	"""readiness to embark on bold new ventures"",""the first of a series of actions"",""serving to set in motion"""	initiatives	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.	"""the first of a series of actions"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
637	"""an enlisted man of the lowest rank in the Army or Marines"",""confined to particular persons or groups or providing privacy"",""concerning things deeply private and personal"",""concerning one person exclusively"",""not expressed"""	private	Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers.	"""confined to particular persons or groups or providing privacy"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
29	"""status established in order of importance or urgency"",""preceding in time"""	priority	Says Mr. Baldwin,`` We recognize that we may no longer have as high a priority in church life and experience.``	"""status established in order of importance or urgency"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
94	"""an interpretation of a matter from a particular viewpoint"",""something a little different from others of the same type"",""a written work (as a novel) that has been recast in a new form"",""a written communication in a second language having the same meaning as the written communication in a first language"",""a mental representation of the meaning or significance of something"",""manual turning of a fetus in the uterus (usually to aid delivery)"""	versions	It may even be possible to replace defective genes with healthy versions, though no one has come close to doing that so far.	"""something a little different from others of the same type"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
437	"""the act of investing; laying out money or capital in an enterprise with the expectation of profit"",""money that is invested with an expectation of profit"",""the commitment of something other than money (time\, energy\, or effort) to a project with the expectation of some worthwhile result"",""outer layer or covering of an organ or part or organism"",""the act of putting on robes or vestments"",""the ceremonial act of clothing someone in the insignia of an office; the formal promotion of a person to an office or rank"""	investment	The bank overstretched at the height of the financial crisis by taking over the investment bank Merrill Lynch.	"""the act of investing; laying out money or capital in an enterprise with the expectation of profit"""				2022-06-08T13:04:19.094	2022-06-08T13:07:51.496
625	"""a small elite group"",""a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number"""	few	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common.	"""a small elite group"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
445	"""a period of time containing 365 (or 366) days"",""a period of time occupying a regular part of a calendar year that is used for some particular activity"",""the period of time that it takes for a planet (as\, e.g.\, Earth or Mars) to make a complete revolution around the sun"",""a body of students who graduate together"""	years	The Twitter issue is just one of many outlined by Mr. Hayes 's lawyers that are likely to be argued for years, delaying an execution.	"""a period of time occupying a regular part of a calendar year that is used for some particular activity"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
244	"""a victory (as in a race or other competition)"",""something won (especially money)"",""be the winner in a contest or competition; be victorious"",""win something through one's efforts"",""obtain advantages\, such as points\, etc."",""attain success or reach a desired goal"""	wins	Second, it explains why voters hold Congress in disdain but generally love their own congressional representatives: Any individual legislator 's constituents appreciate the specific benefits that the legislator wins for them but not the overall cost associated with every other legislator doing likewise for his own constituency.	"""win something through one's efforts"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
510	"""the largest Latin American country and the largest Portuguese speaking country in the world; located in the central and northeastern part of South America; world's leading coffee exporter"",""three-sided tropical American nut with white oily meat and hard brown shell"""	Brazil	Brazil is the country which exercises most leadership in the region, mentioned by 19% of respondents( up from 18% last year), followed by the United States( 9%, unchanged from last year) and Venezuela( 9%, down from 11% last year).	"""the largest Latin American country and the largest Portuguese speaking country in the world; located in the central and northeastern part of South America; world's leading coffee exporter"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
456	"""the act of forcing out someone or something"",""squeezing out by applying pressure"",""the act of expelling or projecting or ejecting"""	expulsion	The expulsion presumably forged by two players of Real Madrid( Xabi Alonso and Sergio Ramos) in the game played on the 23rd of November against Ajax in European Champions League has caused rivers of ink to be written about if such behavior is or is not unsportsmanlike and if, both players should be sanctioned by UEFA.	"""the act of expelling or projecting or ejecting"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
320	"""reasoning from detailed facts to general principles"",""an idea or conclusion having general application"",""the process of formulating general concepts by abstracting common properties of instances"",""(psychology) transfer of a response learned to one stimulus to a similar stimulus"""	generalizations	The interactions between health and homelessness are complex, defying sweeping generalizations as to`` cause`` or`` effect.``	"""the process of formulating general concepts by abstracting common properties of instances"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
440	"""earnest or urgent request"",""attractiveness that interests or pleases or stimulates"",""(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial"",""request for a sum of money"",""take a court case to a higher court for review"",""request earnestly (something from somebody); ask for aid or protection"",""be attractive to"",""challenge (a decision)"",""cite as an authority; resort to"""	appeals	But lawyers for Mr. Hayes have already made court filings that sketch out appeals arguments that are likely to occupy the courts for years.	"""(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
78	"""act of improving by expanding or enlarging or refining"",""a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)"",""(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level"",""a recent event that has some relevance for the present situation"",""the act of making some area of land or water more profitable or productive or useful"",""a district that has been developed to serve some purpose"",""a state in which things are improving; the result of developing (as in the early part of a game of chess)"",""processing a photosensitive material in order to make an image visible"",""(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated"""	development	`` It was the confirming evidence we all needed that gene losses were critical to the development of a common tumor,`` says Ray White at Howard Hughes Medical Institute in Salt Lake City.	"""a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
168	"""a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter"",""the trait of appreciating (and being able to express) the humorous"",""a characteristic (habitual or relatively temporary) state of feeling"",""the quality of being funny"",""(Middle Ages) one of the four fluids in the body whose balance was believed to determine your emotional and physical state"",""the liquid parts of the body"",""put into a good mood"""	humor	Maybe it would be better to humor the guy and then make an exit.	"""put into a good mood"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
597	"""an arithmetic operation in which the difference between two numbers is calculated"",""the act of subtracting (removing a part from the whole)"""	subtraction	+-*/: Addition, subtraction, multiplication and division.	"""an arithmetic operation in which the difference between two numbers is calculated"""				2022-06-08T13:04:21.380	2022-06-08T13:07:09.793
78	"""act of improving by expanding or enlarging or refining"",""a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)"",""(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level"",""a recent event that has some relevance for the present situation"",""the act of making some area of land or water more profitable or productive or useful"",""a district that has been developed to serve some purpose"",""a state in which things are improving; the result of developing (as in the early part of a game of chess)"",""processing a photosensitive material in order to make an image visible"",""(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated"""	development	`` It was the confirming evidence we all needed that gene losses were critical to the development of a common tumor,`` says Ray White at Howard Hughes Medical Institute in Salt Lake City.	"""(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
445	"""a period of time containing 365 (or 366) days"",""a period of time occupying a regular part of a calendar year that is used for some particular activity"",""the period of time that it takes for a planet (as\, e.g.\, Earth or Mars) to make a complete revolution around the sun"",""a body of students who graduate together"""	years	The Twitter issue is just one of many outlined by Mr. Hayes 's lawyers that are likely to be argued for years, delaying an execution.	"""a period of time occupying a regular part of a calendar year that is used for some particular activity"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
195	"""dismiss from the mind; stop remembering"",""be unable to remember"",""forget to do something"",""leave behind unintentionally"""	forgotten	He had already quite forgotten about him.	"""leave behind unintentionally"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
245	"""a plan of action adopted by an individual or social group"",""a line of argument rationalizing the course of action of a government"",""written contract or certificate of insurance"""	policy	Third, the theory suggests why legislators who pay too much attention to national policy making relative to local benefit-seeking have lower security in office.	"""a line of argument rationalizing the course of action of a government"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
242	"""a human being"",""a single organism"",""being or characteristic of a single thing or person"",""separate and distinct from others of the same kind"",""characteristic of or meant for a single person or thing"",""concerning one person exclusively"""	individual	The individual voter 's standing consequently will be enhanced through lower taxes.	"""characteristic of or meant for a single person or thing"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
168	"""a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter"",""the trait of appreciating (and being able to express) the humorous"",""a characteristic (habitual or relatively temporary) state of feeling"",""the quality of being funny"",""(Middle Ages) one of the four fluids in the body whose balance was believed to determine your emotional and physical state"",""the liquid parts of the body"",""put into a good mood"""	humor	Maybe it would be better to humor the guy and then make an exit.	"""the quality of being funny"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
143	"""relating to the process of education"",""providing knowledge"""	educational	They are based on dubious psychological and sociological theories rather than on educational experience.	"""providing knowledge"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
510	"""the largest Latin American country and the largest Portuguese speaking country in the world; located in the central and northeastern part of South America; world's leading coffee exporter"",""three-sided tropical American nut with white oily meat and hard brown shell"""	Brazil	Brazil is the country which exercises most leadership in the region, mentioned by 19% of respondents( up from 18% last year), followed by the United States( 9%, unchanged from last year) and Venezuela( 9%, down from 11% last year).	"""the largest Latin American country and the largest Portuguese speaking country in the world; located in the central and northeastern part of South America; world's leading coffee exporter"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
64	"""the occurrence of a change for the worse"",""loss of military equipment"",""the act of damaging something or someone"",""the amount of money needed to purchase something"",""any harm or injury resulting from a violation of a legal right"",""inflict damage upon"",""suffer or be susceptible to damage"""	damaged	The tumor, he suggested, developed when the second, normal copy also was damaged.	"""the occurrence of a change for the worse"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
400	"""a person authorized to conduct religious worship"",""a person appointed to a high office in the government"",""a diplomat representing one government to another; ranks below ambassador"",""the job of a head of a government department"",""attend to the wants and needs of others"",""work as a minister"""	minister	High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week.	"""the job of a head of a government department"""				2022-06-08T13:04:22.942	2022-06-08T13:08:27.859
549	"""a person who works at a specific occupation"",""a member of the working class (not necessarily employed)"",""sterile member of a colony of social insects that forages for food and cares for the larvae"",""a person who acts and gets things done"""	workers	Fears about the impact of immigrants are based on the notion that they are liable to replace native workers, in particular unskilled ones, exerting downward pressure on wages.	"""sterile member of a colony of social insects that forages for food and cares for the larvae"""				2022-06-08T13:04:22.218	2022-06-08T13:09:40.970
8	"""the products of human creativity; works of art collectively"",""the creation of beautiful or significant things"",""a superior skill that you can learn by study and practice and observation"",""photographs or other visual representations in a printed publication"""	art	It is easy to see why the ancient art is on the ropes.	"""the products of human creativity; works of art collectively"""				2022-06-08T13:04:22.218	2022-06-08T13:09:40.970
629	"""a politically organized body of people under a single government"",""the territory occupied by a nation"",""the people who live in a nation or country"",""an area outside of cities and towns"",""a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)"""	countries	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries.	"""the territory occupied by a nation"""				2022-06-08T13:04:22.218	2022-06-08T13:09:40.970
498	"""the quality or attribute of being firm and steadfast"",""a stable order (especially of society)"",""the quality of being enduring and free from change or variation"""	stability	The second is the increasing stability of attitudes towards democracy and its core institutions.	"""the quality of being enduring and free from change or variation"""				2022-06-08T13:04:22.218	2022-06-08T13:09:40.970
532	"""the act of choosing or selecting"",""an assortment of things from which a choice can be made"",""the person or thing chosen or selected"",""a natural process resulting in the evolution of organisms best adapted to the environment"",""a passage selected from a larger work"""	selection	We see that the peak of the Spanish selection is the goalkeeper Iker Casillas, who last Saturday against England( game lost with 0-1 in London) equaled the record of the ex goalkeeper Andoni Zubizarreta, with 126 international matches.	"""the act of choosing or selecting"""				2022-06-08T13:04:22.218	2022-06-08T13:09:40.970
172	"""a sign of assent or salutation or command"",""the act of nodding the head"",""express or signify by nodding"",""lower and raise the head\, as to indicate assent or agreement or confirmation"",""let the head fall forward through drowsiness"",""sway gently back and forth\, as in a nodding motion"",""be almost asleep"""	nodded	The man closed his eyes and nodded.	"""the act of nodding the head"""				2022-06-08T13:04:22.218	2022-06-08T13:09:40.970
