participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.time_for_initial_decision,player.time_for_decision_when_disagreement_occurred,player.intermediary_payoff,player.payable_round,player.written_outcome,player.initial_decision,player.phrase,player.sentence,player.senses,player.decision,group.id_in_subsession,group.is_initial_agreement,group.is_eventual_agreement,group.is_golden_label,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,2hj9j60o,,0,0,32,,,,0,,,0,2,,0,,,,2,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,ldxmnzwl,,,,,1
3,knxk08iz,,0,0,32,,,,0,,,0,3,,0,,,,3,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,ldxmnzwl,,,,,1
1,178mn4o3,,0,0,32,,,,0,,,0,1,,0,,,,2,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,ldxmnzwl,,,,,1
2,2hj9j60o,,0,0,32,,,,0,,,0,2,,0,,,,2,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,ldxmnzwl,,,,,1
3,knxk08iz,,0,0,32,,,,0,,,0,3,,0,,,,3,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,ldxmnzwl,,,,,1
1,178mn4o3,,0,0,32,,,,0,,,0,1,,0,,,,2,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,ldxmnzwl,,,,,1
2,2hj9j60o,,0,0,32,,,,0,,,0,2,,0,,,,2,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,ldxmnzwl,,,,,1
3,knxk08iz,,0,0,32,,,,0,,,0,3,,0,,,,3,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,ldxmnzwl,,,,,1
1,hcredye0,,0,32,32,last,Last,2022-06-12 15:44:43.300037+00:00,1,,,1,1,,1,24.232134,8.285681,1,1,Your team eventually reached an agreement,5,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,6,2,0,1,,1,i5p2lg18,,,,,1
2,a7dr3a6x,,0,32,32,last,Last,2022-06-12 15:44:43.314156+00:00,1,,,3,2,,3,27.367196,5.690433,3,1,"Your team agrees with you, congratulations!",6,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,6,2,0,1,,1,i5p2lg18,,,,,1
3,fafpkm56,,0,32,32,last,Last,2022-06-12 15:44:43.320914+00:00,1,,,3,3,,0,28.360993,11.461537,1,3,Your team eventually reached an agreement,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,6,2,0,1,,1,i5p2lg18,,,,,1
1,hcredye0,,0,32,32,last,Last,2022-06-12 15:44:43.300037+00:00,1,,,1,1,,0,178.295198,3.932291,0,1,Your team disagrees,1,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",1,2,0,0,,2,i5p2lg18,,,,,1
2,a7dr3a6x,,0,32,32,last,Last,2022-06-12 15:44:43.314156+00:00,1,,,3,2,,0,179.758315,10.434043,0,1,Your team disagrees,1,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",1,2,0,0,,2,i5p2lg18,,,,,1
3,fafpkm56,,0,32,32,last,Last,2022-06-12 15:44:43.320914+00:00,1,,,3,3,,0,181.187094,90.361484,0,3,Your team disagrees,0,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,0,0,,2,i5p2lg18,,,,,1
1,hcredye0,,0,32,32,last,Last,2022-06-12 15:44:43.300037+00:00,1,,,1,1,,0,,106.292422,3,1,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,i5p2lg18,,,,,1
2,a7dr3a6x,,0,32,32,last,Last,2022-06-12 15:44:43.314156+00:00,1,,,3,2,,0,,92.993799,3,1,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,i5p2lg18,,,,,1
3,fafpkm56,,0,32,32,last,Last,2022-06-12 15:44:43.320914+00:00,1,,,3,3,,3,,92.97162,3,3,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,i5p2lg18,,,,,1
1,83khopo0,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.225821+00:00,1,,,0,1,,0,128.347059,30.332027,0,3,Your team disagrees,4,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,4,2,0,0,,1,tiotroj0,,,,,1
2,0s4zv77x,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.237437+00:00,1,,,0,2,,0,128.321956,36.054663,0,2,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,0,0,,1,tiotroj0,,,,,1
3,7pl5477p,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.244343+00:00,1,,,0,3,,0,128.299377,34.435243,0,3,Your team disagrees,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,3,2,0,0,,1,tiotroj0,,,,,1
1,83khopo0,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.225821+00:00,1,,,0,1,,0,158.614485,66.782497,0,3,Your team disagrees,0,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,0,0,,2,tiotroj0,,,,,1
2,0s4zv77x,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.237437+00:00,1,,,0,2,,0,158.651989,60.21866,0,2,Your team disagrees,3,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",1,2,0,0,,2,tiotroj0,,,,,1
3,7pl5477p,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.244343+00:00,1,,,0,3,,0,158.687754,62.820005,0,3,Your team disagrees,5,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",5,2,0,0,,2,tiotroj0,,,,,1
1,83khopo0,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.225821+00:00,1,,,0,1,,0,167.721637,52.962087,0,3,Your team disagrees,6,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",6,2,0,0,,3,tiotroj0,,,,,1
2,0s4zv77x,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.237437+00:00,1,,,0,2,,0,252.164581,90.320178,0,2,Your team disagrees,0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,0,0,,3,tiotroj0,,,,,1
3,7pl5477p,,0,28,32,wsd_app,Results,2022-06-12 15:52:20.244343+00:00,1,,,0,3,,0,167.297397,50.393284,0,3,Your team disagrees,2,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",2,2,0,0,,3,tiotroj0,,,,,1
1,devxm3wo,,0,50,50,last,Last,2022-06-12 16:05:18.916694+00:00,1,,,3,1,,0,,3.804772,3,5,"Your team agrees with you, congratulations!",0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,1,1,,1,eghddqm9,,,,,1
2,qvk30x43,,0,50,50,last,Last,2022-06-12 16:05:18.931287+00:00,1,,,3,2,,0,,3.795235,3,5,"Your team agrees with you, congratulations!",0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,1,1,,1,eghddqm9,,,,,1
3,mowjrqzf,,0,50,50,last,Last,2022-06-12 16:05:18.938550+00:00,1,,,3,3,,0,,3.790809,3,4,"Your team agrees with you, congratulations!",0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,1,1,,1,eghddqm9,,,,,1
1,devxm3wo,,0,50,50,last,Last,2022-06-12 16:05:18.916694+00:00,1,,,3,1,,0,,4.371255,3,5,"Your team agrees with you, congratulations!",0,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,2,eghddqm9,,,,,1
2,qvk30x43,,0,50,50,last,Last,2022-06-12 16:05:18.931287+00:00,1,,,3,2,,0,,4.361385,3,5,"Your team agrees with you, congratulations!",0,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,2,eghddqm9,,,,,1
3,mowjrqzf,,0,50,50,last,Last,2022-06-12 16:05:18.938550+00:00,1,,,3,3,,0,,4.356294,3,4,"Your team agrees with you, congratulations!",0,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,2,eghddqm9,,,,,1
1,devxm3wo,,0,50,50,last,Last,2022-06-12 16:05:18.916694+00:00,1,,,3,1,,0,,1.381755,3,5,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,eghddqm9,,,,,1
2,qvk30x43,,0,50,50,last,Last,2022-06-12 16:05:18.931287+00:00,1,,,3,2,,0,,1.371475,3,5,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,eghddqm9,,,,,1
3,mowjrqzf,,0,50,50,last,Last,2022-06-12 16:05:18.938550+00:00,1,,,3,3,,0,,1.364855,3,4,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,eghddqm9,,,,,1
1,devxm3wo,,0,50,50,last,Last,2022-06-12 16:05:18.916694+00:00,1,,,3,1,,0,,1.326013,3,5,"Your team agrees with you, congratulations!",0,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,4,eghddqm9,,,,,1
2,qvk30x43,,0,50,50,last,Last,2022-06-12 16:05:18.931287+00:00,1,,,3,2,,0,,1.316475,3,5,"Your team agrees with you, congratulations!",0,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,4,eghddqm9,,,,,1
3,mowjrqzf,,0,50,50,last,Last,2022-06-12 16:05:18.938550+00:00,1,,,3,3,,3,,1.308992,3,4,"Your team agrees with you, congratulations!",0,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,4,eghddqm9,,,,,1
1,devxm3wo,,0,50,50,last,Last,2022-06-12 16:05:18.916694+00:00,1,,,3,1,,3,,90.802244,3,5,"Your team agrees with you, congratulations!",0,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,0,2,1,1,,5,eghddqm9,,,,,1
2,qvk30x43,,0,50,50,last,Last,2022-06-12 16:05:18.931287+00:00,1,,,3,2,,3,,90.787948,3,5,"Your team agrees with you, congratulations!",0,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,0,2,1,1,,5,eghddqm9,,,,,1
3,mowjrqzf,,0,50,50,last,Last,2022-06-12 16:05:18.938550+00:00,1,,,3,3,,0,,90.747666,3,4,"Your team agrees with you, congratulations!",0,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,0,2,1,1,,5,eghddqm9,,,,,1
1,fybhhwgk,,0,0,32,,,,0,,,0,1,,0,,,,1,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,k40dy3sl,,,,,1
2,pn9zvovb,,0,0,32,,,,0,,,0,2,,0,,,,3,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,k40dy3sl,,,,,1
3,nuwoia8m,,0,0,32,,,,0,,,0,3,,0,,,,3,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,k40dy3sl,,,,,1
1,fybhhwgk,,0,0,32,,,,0,,,0,1,,0,,,,1,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,k40dy3sl,,,,,1
2,pn9zvovb,,0,0,32,,,,0,,,0,2,,0,,,,3,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,k40dy3sl,,,,,1
3,nuwoia8m,,0,0,32,,,,0,,,0,3,,0,,,,3,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,k40dy3sl,,,,,1
1,fybhhwgk,,0,0,32,,,,0,,,0,1,,0,,,,1,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,k40dy3sl,,,,,1
