participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.blocked_in_wp,player.matching_time,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
20,b1cz8e00,00020551b2--62a70d8f059cac0e9377c349,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:53.233784+00:00,1,,,70,1,,0,0,-9e-06,8,1,v8jw39uu,,,,,0
21,6ivnoczu,00020551b2--62a70d9d305db237b24019dd,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:53.392902+00:00,1,,,80,3,,0,0,8.315364,6,1,v8jw39uu,,,,,0
22,1e9fragw,00020551b2--62a70d92276629520ee30bd2,0,95,95,last,Last,2022-06-13 10:12:57.793744+00:00,1,,,53,1,,0,0,-1.4e-05,9,1,v8jw39uu,,,,,0
23,mfwbhe8j,13800773d2--60l59L59695667983UO17rs3,0,1,95,intro_matcher,Intro,2022-06-13 10:13:04.282305+00:00,1,,,0,23,,0,0,,1,1,v8jw39uu,,,,,0
24,a9ef39uv,00020551b2--62a70da10b8a5816989b1351,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:01.842300+00:00,1,,,70,2,,0,0,0.410863,8,1,v8jw39uu,,,,,0
25,sghkmgy7,00020551b2--62a70d9302e0db560185727c,0,1,95,intro_matcher,Intro,2022-06-13 10:13:01.931196+00:00,1,,,0,25,,0,0,,1,1,v8jw39uu,,,,,0
26,uacdg9di,00020551b2--62a70d9e6c08bd0cc60e03b6,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:03.260038+00:00,1,,,23,2,,0,0,0.639972,12,1,v8jw39uu,,,,,0
27,drll18h9,00020551b2--62a70da7c6f5d259c540359a,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:06.434827+00:00,1,,,70,3,,0,0,0.908017,8,1,v8jw39uu,,,,,0
28,tj9eap24,00020551b2--62a70da4f47dc619007228c6,0,95,95,last,Last,2022-06-13 10:13:08.465520+00:00,1,,,45,3,,0,0,5.767644,14,1,v8jw39uu,,,,,0
29,wwmxiren,00020551b2--62a70d91521e6373d2aeca32,0,95,95,last,Last,2022-06-13 10:13:10.081237+00:00,1,,,3,2,,0,0,0.297666,9,1,v8jw39uu,,,,,0
30,sfccokok,00020551b2--62a70d884f0ede6bfabded34,0,95,95,last,Last,2022-06-13 10:13:11.752566+00:00,1,,,36,1,,0,0,-1.5e-05,13,1,v8jw39uu,,,,,0
31,f8d4gvps,00020551b2--62a70dacda9c6a5d5a4f2be8,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:12.370736+00:00,1,,,60,2,,0,0,1.763334,7,1,v8jw39uu,,,,,0
32,7yty41jr,00020551b2--62a70daec6f5d259c54035e0,0,95,95,last,Last,2022-06-13 10:13:14.844192+00:00,1,,,53,2,,0,0,1.365448,10,1,v8jw39uu,,,,,0
33,38tdh1io,00020551b2--62a70da6f47dc619007228f7,0,95,95,last,Last,2022-06-13 10:13:15.809634+00:00,1,,,3,1,,0,0,-1.1e-05,10,1,v8jw39uu,,,,,0
34,4g0beedo,00020551b2--62a70d8d4ad5fb122b867998,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:17.477785+00:00,1,,,50,2,,0,0,2.927039,13,1,v8jw39uu,,,,,0
35,17ajo6f1,00020551b2--62a70d9e1f3bd04c6955426e,0,95,95,last,Last,2022-06-13 10:13:18.105017+00:00,1,,,53,3,,0,0,0.396219,10,1,v8jw39uu,,,,,0
36,kzlwe574,00020551b2--62a70daf73c63f3d1e23063e,0,95,95,last,Last,2022-06-13 10:13:19.271437+00:00,1,,,23,1,,0,0,-1e-05,12,1,v8jw39uu,,,,,0
37,yketsy3q,00020551b2--62a70daa16ae3d133961f26e,0,95,95,last,Last,2022-06-13 10:13:22.985707+00:00,1,,,10,3,,0,0,4.071884,9,1,v8jw39uu,,,,,0
38,n0kgqe99,00020551b2--62a70d776bcc931cf0a107c7,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:23.576189+00:00,1,,,60,1,,0,0,-1.3e-05,11,1,v8jw39uu,,,,,0
39,7bhm6yjf,13800773d2--60l59LDL69nO6Z983021Z94f,0,1,95,intro_matcher,Intro,2022-06-13 10:13:28.231097+00:00,1,,,0,39,,0,0,,1,1,v8jw39uu,,,,,0
40,kmdosfa1,00020551b2--62a70db8037a785545296a9d,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:29.996572+00:00,1,,,60,3,,0,0,0.921781,11,1,v8jw39uu,,,,,0
41,0wymj3xg,00020551b2--62a70dbdcf7868165793eb5c,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:30.440582+00:00,1,,,50,3,,0,0,5.375393,13,1,v8jw39uu,,,,,0
42,c6hrzzaz,00020551b2--62a70db6c6f5d259c5403609,0,95,95,last,Last,2022-06-13 10:13:31.578695+00:00,1,,,66,1,,0,0,-1.2e-05,15,1,v8jw39uu,,,,,0
43,ckgsrx9v,00020551b2--62a70daaf10f623a73c3a087,0,2,95,matcher,FirstWP,2022-06-13 10:13:32.638373+00:00,1,,,0,43,,0,0,,1,1,v8jw39uu,,,,,0
44,px7fovuk,00020551b2--62a70dbb4f0ede6bfabdef18,0,95,95,last,Last,2022-06-13 10:13:32.820570+00:00,1,,,60,2,,0,0,3.632877,15,1,v8jw39uu,,,,,0
45,47ztl1u0,00020551b2--62a70d9dec4826102d0852b3,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:34.029273+00:00,1,,,60,2,,0,0,0.429226,11,1,v8jw39uu,,,,,0
46,uxj1cwd9,00020551b2--62a70d9bf47dc619007228a2,0,95,95,last,Last,2022-06-13 10:13:37.378751+00:00,1,,,53,1,,0,0,-1e-05,14,1,v8jw39uu,,,,,0
47,e6i5hr4i,00020551b2--62a70db5305db237b2401ae7,0,95,95,last,Last,2022-06-13 10:13:42.356615+00:00,1,,,60,3,,0,0,3.696382,15,1,v8jw39uu,,,,,0
48,5dw26fpk,00020551b2--62a70dd1b86eb76a54bb472a,0,95,95,last,Last,2022-06-13 10:13:43.226869+00:00,1,,,59,2,,0,0,2.377308,14,1,v8jw39uu,,,,,0
49,alwof86v,00020551b2--62a70d99a9641b6ee1f5e6f4,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:52.367975+00:00,1,,,50,3,,0,0,27.34359,17,1,v8jw39uu,,,,,0
50,u0d5od3g,00020551b2--62a70dc37381995fb9911f36,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:55.555321+00:00,1,,,40,2,,0,0,10.727171,16,1,v8jw39uu,,,,,0
51,psn8k6zm,00020551b2--62a70dbaf10f623a73c3a192,0,95,95,last,Last,2022-06-13 10:13:59.178409+00:00,1,,,29,2,,0,0,22.445813,17,1,v8jw39uu,,,,,0
52,t2sm9gb5,00020551b2--62a70dd2da9c6a5d5a4f2eec,0,92,95,wsd_app,FinalResults,2022-06-13 10:14:07.123478+00:00,1,,,40,1,,0,0,-1.1e-05,16,1,v8jw39uu,,,,,0
53,5i7f6vwh,00020551b2--62a70dbe059cac0e9377c592,0,92,95,wsd_app,FinalResults,2022-06-13 10:14:07.916850+00:00,1,,,40,3,,0,0,3.197446,16,1,v8jw39uu,,,,,0
54,3z2amo0d,00020551b2--62a70dc2da9c6a5d5a4f2d36,0,92,95,wsd_app,FinalResults,2022-06-13 10:14:14.457219+00:00,1,,,43,3,,0,0,10.256524,18,1,v8jw39uu,,,,,0
55,s2efj5h6,00020551b2--62a70dfc3e4bbc46d7b6420a,0,92,95,wsd_app,FinalResults,2022-06-13 10:14:27.853780+00:00,1,,,50,2,,0,0,13.595025,18,1,v8jw39uu,,,,,0
56,6sb9bf96,00020551b2--62a70da0111d247825ed62d2,0,92,95,wsd_app,FinalResults,2022-06-13 10:14:37.793095+00:00,1,,,60,1,,0,0,12.921433,19,1,v8jw39uu,,,,,0
57,891f8adi,00020551b2--62a70d987381995fb9911d69,0,92,95,wsd_app,FinalResults,2022-06-13 10:14:41.544927+00:00,1,,,60,2,,0,0,1.72667,19,1,v8jw39uu,,,,,0
58,1q2fc52f,00020551b2--62a70e12e3af0f15c4b93e5a,0,92,95,wsd_app,FinalResults,2022-06-13 10:14:48.965714+00:00,1,,,50,1,,0,0,-1.4e-05,17,1,v8jw39uu,,,,,0
59,0x43kvlb,00020551b2--62a70e12598d17774f2549dd,0,95,95,last,Last,2022-06-13 10:14:50.148599+00:00,1,,,46,3,,0,0,10.699685,19,1,v8jw39uu,,,,,0
60,x9hjgeqd,00020551b2--62a70e20276629520ee31c47,0,92,95,wsd_app,FinalResults,2022-06-13 10:15:02.841005+00:00,1,,,43,1,,0,0,-1.5e-05,18,1,v8jw39uu,,,,,0
61,98yz5q6m,00020551b2--62a70e2c4743eb3092494571,0,94,95,last,BlockedByOther,2022-06-13 10:15:21.555576+00:00,1,,,0,1,,0,1,97.118954,20,1,v8jw39uu,,,,,0
62,yrgu65yb,00020551b2--62a70e3ff82b486934b4148e,0,92,95,wsd_app,FinalResults,2022-06-13 10:15:41.143827+00:00,1,,,70,1,,0,0,168.630995,22,1,v8jw39uu,,,,,0
63,2zms96nz,00020551b2--62a70e753f40b64178aa38fd,0,95,95,last,Last,2022-06-13 10:16:46.500135+00:00,1,,,43,3,,0,0,69.510161,21,1,v8jw39uu,,,,,0
64,5f63ufca,00020551b2--62a70ea6276629520ee32c59,0,95,95,last,Last,2022-06-13 10:17:31.288762+00:00,1,,,43,2,,0,0,14.532385,21,1,v8jw39uu,,,,,0
65,1pfst8hc,00020551b2--62a70ec2f10f623a73c3ae1e,0,95,95,last,Last,2022-06-13 10:17:56.129898+00:00,1,,,43,1,,0,0,-1.5e-05,21,1,v8jw39uu,,,,,0
66,r2ivckf6,00020551b2--62a70ec94743eb3092494924,0,92,95,wsd_app,FinalResults,2022-06-13 10:18:09.856606+00:00,1,,,70,2,,0,0,2.521241,22,1,v8jw39uu,,,,,0
67,yk70t7il,00020551b2--62a70eefc6f5d259c5403ffb,0,92,95,wsd_app,FinalResults,2022-06-13 10:18:34.373019+00:00,1,,,70,3,,0,0,2.936768,22,1,v8jw39uu,,,,,0
68,02kfpswg,00020551b2--62a70ef8111d247825ed736b,0,94,95,last,BlockedByOther,2022-06-13 10:19:17.314154+00:00,1,,,0,1,,0,1,94.085638,23,1,v8jw39uu,,,,,0
69,bb55yfe5,00020551b2--62a70e7d037a78554529741b,0,94,95,last,BlockedByOther,2022-06-13 10:20:06.566644+00:00,1,,,0,1,,0,1,97.019583,24,1,v8jw39uu,,,,,0
70,iq5zqx9a,,0,0,95,,,,0,,,0,70,,0,0,,1,1,v8jw39uu,,,,,0
71,fjdmbels,,0,0,95,,,,0,,,0,71,,0,0,,1,1,v8jw39uu,,,,,0
72,9a8t9nv5,,0,0,95,,,,0,,,0,72,,0,0,,1,1,v8jw39uu,,,,,0
73,hwi782ma,,0,0,95,,,,0,,,0,73,,0,0,,1,1,v8jw39uu,,,,,0
74,qv5lbygv,,0,0,95,,,,0,,,0,74,,0,0,,1,1,v8jw39uu,,,,,0
75,e5lhj78a,,0,0,95,,,,0,,,0,75,,0,0,,1,1,v8jw39uu,,,,,0
76,6bf0cyqk,,0,0,95,,,,0,,,0,76,,0,0,,1,1,v8jw39uu,,,,,0
77,eevjjbpn,,0,0,95,,,,0,,,0,77,,0,0,,1,1,v8jw39uu,,,,,0
78,wa4o6yls,,0,0,95,,,,0,,,0,78,,0,0,,1,1,v8jw39uu,,,,,0
79,8yffde5v,,0,0,95,,,,0,,,0,79,,0,0,,1,1,v8jw39uu,,,,,0
80,3w6wig2k,,0,0,95,,,,0,,,0,80,,0,0,,1,1,v8jw39uu,,,,,0
81,2es727k4,,0,0,95,,,,0,,,0,81,,0,0,,1,1,v8jw39uu,,,,,0
82,byotkcfq,,0,0,95,,,,0,,,0,82,,0,0,,1,1,v8jw39uu,,,,,0
83,ypvwp5jn,,0,0,95,,,,0,,,0,83,,0,0,,1,1,v8jw39uu,,,,,0
84,epm8y8xw,,0,0,95,,,,0,,,0,84,,0,0,,1,1,v8jw39uu,,,,,0
